id,nome,latitude,longitude,pontos_alcancaveis,distancia
1,Rua A,-6.77056,-43.0303,"[2, 18, 20, 30, 31]","[['Rua B', 130.0], ['Rua R', 120.0], ['Rua T', 120.0], ['Rua ZD', 120.0], ['Rua ZE', 130.0]]"
2,Rua B,-6.771646,-43.030823,"[1, 27, 18, 3]","[['Rua A', 130.0], ['Rua ZA', 60.0], ['Rua R', 80.0], ['Rua c', 100.0]]"
3,Rua c,-6.772433,-43.031271,"[2, 27, 4, 26]","[['Rua B', 100.0], ['Rua ZA', 80.0], ['Rua D', 130.0], ['Rua Z', 140.0]]"
4,Rua D,-6.772504,-43.032432,"[3, 25, 5]","[['Rua c', 130.0], ['Rua Y', 80.0], ['Rua E', 140.0]]"
5,Rua E,-6.772613,-43.033654,"[4, 6]","[['Rua D', 140.0], ['Rua F', 80.0]]"
6,Rua F,-6.771913,-43.033756,"[5, 25, 7]","[['Rua E', 80.0], ['Rua Y', 130.0], ['Rua G', 120.0]]"
7,Rua G,-6.770864,-43.033821,"[6, 24, 8]","[['Rua F', 120.0], ['Rua X', 130.0], ['Rua H', 120.0]]"
8,Rua H,-6.769748,-43.033955,"[7, 9]","[['Rua G', 120.0], ['Rua I', 130.0]]"
9,Rua I,-6.769673,-43.032743,"[8, 10, 24, 22]","[['Rua H', 130.0], ['Rua J', 70.0], ['Rua X', 120.0], ['Rua V', 130.0]]"
10,Rua J,-6.769017,-43.032827,"[9, 23, 11]","[['Rua I', 70.0], ['Rua W', 140.0], ['Rua K', 50.0]]"
11,Rua K,-6.768593,-43.03288,"[10, 12]","[['Rua J', 50.0], ['Rua L', 130.0]]"
12,Rua L,-6.768406,-43.031707,"[11, 23, 14]","[['Rua K', 130.0], ['Rua W', 50.0], ['Rua N', 120.0]]"
13,Rua M,-6.768537,-43.028397,"[16, 29, 17]","[['Rua P', 60.0], ['Rua ZC', 110.0], ['Rua Q', 100.0]]"
14,Rua N,-6.768264,-43.030615,"[12, 21, 15]","[['Rua L', 120.0], ['Rua U', 50.0], ['Rua O', 130.0]]"
15,Rua O,-6.768123,-43.029477,"[14, 29, 16]","[['Rua N', 130.0], ['Rua ZC', 60.0], ['Rua P', 110.0]]"
16,Rua P,-6.768,-43.028457,"[15, 13]","[['Rua O', 110.0], ['Rua M', 60.0]]"
17,Rua Q,-6.769424,-43.028337,"[13, 19]","[['Rua M', 100.0], ['Rua S', 110.0]]"
18,Rua R,-6.77163,-43.03008,"[1, 2, 26, 28]","[['Rua A', 120.0], ['Rua B', 80.0], ['Rua Z', 70.0], ['Rua ZB', 110.0]]"
19,Rua S,-6.76944,-43.029341,"[17, 29, 30, 20]","[['Rua Q', 110.0], ['Rua ZC', 90.0], ['Rua ZD', 120.0], ['Rua T', 120.0]]"
20,Rua T,-6.770467,-43.029202,"[28, 19, 1]","[['Rua ZB', 100.0], ['Rua S', 120.0], ['Rua A', 120.0]]"
21,Rua U,-6.768737,-43.030518,"[14, 30, 23, 29]","[['Rua N', 50.0], ['Rua ZD', 90.0], ['Rua W', 120.0], ['Rua ZC', 120.0]]"
22,Rua V,-6.769558,-43.031551,"[23, 30, 31, 9]","[['Rua W', 80.0], ['Rua ZD', 120.0], ['Rua ZE', 130.0], ['Rua I', 130.0]]"
23,Rua W,-6.768871,-43.031612,"[12, 10, 21, 22]","[['Rua L', 50.0], ['Rua J', 140.0], ['Rua U', 120.0], ['Rua V', 80.0]]"
24,Rua X,-6.770748,-43.032673,"[9, 31, 25, 7]","[['Rua I', 120.0], ['Rua ZE', 130.0], ['Rua Y', 120.0], ['Rua G', 130.0]]"
25,Rua Y,-6.7718,-43.03254,"[24, 6, 4, 27]","[['Rua X', 120.0], ['Rua F', 130.0], ['Rua D', 80.0], ['Rua ZA', 130.0]]"
26,Rua Z,-6.77228,-43.02999,"[18, 3]","[['Rua R', 70.0], ['Rua c', 140.0]]"
27,Rua ZA,-6.771696,-43.031362,"[2, 3, 25, 31]","[['Rua B', 60.0], ['Rua c', 80.0], ['Rua Y', 130.0], ['Rua ZE', 110.0]]"
28,Rua ZB,-6.771364,-43.029082,"[20, 18]","[['Rua T', 100.0], ['Rua R', 110.0]]"
29,Rua ZC,-6.768643,-43.029405,"[15, 21, 19, 13]","[['Rua O', 60.0], ['Rua U', 120.0], ['Rua S', 90.0], ['Rua M', 110.0]]"
30,Rua ZD,-6.769519,-43.030435,"[21, 19, 22, 1]","[['Rua U', 90.0], ['Rua S', 120.0], ['Rua V', 120.0], ['Rua A', 120.0]]"
31,Rua ZE,-6.7707038,-43.0314517,"[1, 27, 24, 22]","[['Rua A', 130.0], ['Rua ZA', 110.0], ['Rua X', 130.0], ['Rua V', 130.0]]"
